timestamp,machine_id,machine_type,energy_kwh,production_units,temperature_c,operating_hours,machine_status,energy_cost_inr,is_anomaly
2026-08-25 21:00:00,M-001,CNC Machine,6.35,8.73,56.3,0.2,Idle,50.8,False
2026-08-25 21:00:00,M-002,Industrial Motor,7.49,10.77,59.53,0.2,Idle,59.92,False
2026-08-25 21:00:00,M-003,Compressor,10.88,7.88,63.06,0.2,Idle,87.04,False
2026-08-25 21:00:00,M-004,Hydraulic Press,8.75,10.43,57.07,0.2,Idle,70.0,False
2026-08-25 21:00:00,M-005,Cooling System,4.96,6.12,48.55,0.2,Idle,39.68,False
2026-08-25 22:00:00,M-001,CNC Machine,6.01,8.02,55.63,0.2,Idle,48.08,False
2026-08-25 22:00:00,M-002,Industrial Motor,6.96,8.9,62.93,0.2,Idle,55.68,False
2026-08-25 22:00:00,M-003,Compressor,10.44,6.87,61.15,0.2,Idle,83.52,False
2026-08-25 22:00:00,M-004,Hydraulic Press,9.06,9.56,55.7,0.2,Idle,72.48,False
2026-08-25 22:00:00,M-005,Cooling System,5.4,6.18,51.42,0.2,Idle,43.2,False
2026-08-25 23:00:00,M-001,CNC Machine,7.11,8.0,54.97,0.2,Idle,56.88,False
2026-08-25 23:00:00,M-002,Industrial Motor,7.98,8.79,57.56,0.2,Idle,63.84,False
2026-08-25 23:00:00,M-003,Compressor,9.18,7.12,61.34,0.2,Idle,73.44,False
2026-08-25 23:00:00,M-004,Hydraulic Press,9.4,10.16,58.34,0.2,Idle,75.2,False
2026-08-25 23:00:00,M-005,Cooling System,5.5,5.94,49.04,0.2,Idle,44.0,False
2026-08-26 00:00:00,M-001,CNC Machine,6.22,7.92,57.11,0.2,Idle,49.76,False
2026-08-26 00:00:00,M-002,Industrial Motor,6.8,9.86,60.65,0.2,Idle,54.4,False
2026-08-26 00:00:00,M-003,Compressor,9.98,6.78,65.22,0.2,Idle,79.84,False
2026-08-26 00:00:00,M-004,Hydraulic Press,9.5,10.82,56.32,0.2,Idle,76.0,False
2026-08-26 00:00:00,M-005,Cooling System,5.71,5.85,53.95,0.2,Idle,45.68,False
2026-08-26 01:00:00,M-001,CNC Machine,6.33,8.08,52.79,0.2,Idle,50.64,False
2026-08-26 01:00:00,M-002,Industrial Motor,7.97,8.68,62.71,0.2,Idle,63.76,False
2026-08-26 01:00:00,M-003,Compressor,11.03,6.96,64.72,0.2,Idle,88.24,False
2026-08-26 01:00:00,M-004,Hydraulic Press,9.2,9.48,61.08,0.2,Idle,73.6,False
2026-08-26 01:00:00,M-005,Cooling System,6.13,5.98,46.76,0.2,Idle,49.04,False
2026-08-26 02:00:00,M-001,CNC Machine,6.43,8.95,54.4,0.2,Idle,51.44,False
2026-08-26 02:00:00,M-002,Industrial Motor,6.69,9.67,59.56,0.2,Idle,53.52,False
2026-08-26 02:00:00,M-003,Compressor,11.32,7.2,62.96,0.2,Idle,90.56,False
2026-08-26 02:00:00,M-004,Hydraulic Press,8.73,9.35,59.83,0.2,Idle,69.84,False
2026-08-26 02:00:00,M-005,Cooling System,5.42,6.16,53.03,0.2,Idle,43.36,False
2026-08-26 03:00:00,M-001,CNC Machine,6.77,8.47,53.6,0.2,Idle,54.16,False
2026-08-26 03:00:00,M-002,Industrial Motor,7.42,9.35,57.07,0.2,Idle,59.36,False
2026-08-26 03:00:00,M-003,Compressor,10.56,7.17,64.01,0.2,Idle,84.48,False
2026-08-26 03:00:00,M-004,Hydraulic Press,8.24,9.81,57.16,0.2,Idle,65.92,False
2026-08-26 03:00:00,M-005,Cooling System,5.33,5.84,51.68,0.2,Idle,42.64,False
2026-08-26 04:00:00,M-001,CNC Machine,7.12,8.67,55.35,0.2,Idle,56.96,False
2026-08-26 04:00:00,M-002,Industrial Motor,7.57,9.8,56.16,0.2,Idle,60.56,False
2026-08-26 04:00:00,M-003,Compressor,10.44,6.99,68.93,0.2,Idle,83.52,False
2026-08-26 04:00:00,M-004,Hydraulic Press,9.16,9.85,57.93,0.2,Idle,73.28,False
2026-08-26 04:00:00,M-005,Cooling System,5.98,5.44,53.5,0.2,Idle,47.84,False
2026-08-26 05:00:00,M-001,CNC Machine,6.05,8.93,57.81,0.2,Idle,48.4,False
2026-08-26 05:00:00,M-002,Industrial Motor,7.87,8.52,64.38,0.2,Idle,62.96,False
